rodada,data,mandante_id,mandante,visitante_id,visitante,gols_mandante,gols_visitante
1,2026-06-11 16:00:00,2360,México,2358,África do Sul,2.0,0.0
1,2026-06-11 23:00:00,2374,Coreia do Sul,2352,República Tcheca,2.0,1.0
1,2026-06-12 16:00:00,2361,Canadá,2865,Bósnia,1.0,1.0
1,2026-06-12 22:00:00,2365,Estados Unidos,2354,Paraguai,4.0,1.0
1,2026-06-13 16:00:00,3238,Catar,2320,Suíça,1.0,1.0
1,2026-06-13 19:00:00,2318,Brasil,2332,Marrocos,1.0,1.0
1,2026-06-13 22:00:00,2334,Haiti,2327,Escócia,0.0,1.0
1,2026-06-14 01:00:00,2333,Austrália,2328,Turquia,2.0,0.0
1,2026-06-14 14:00:00,2384,Alemanha,3221,Curaçao,7.0,1.0
1,2026-06-14 17:00:00,2381,Holanda,2369,Japão,2.0,2.0
1,2026-06-14 20:00:00,2350,Costa do Marfim,2372,Equador,1.0,0.0
1,2026-06-14 23:00:00,2368,Suécia,2337,Tunísia,5.0,1.0
1,2026-06-15 13:00:00,2326,Espanha,3201,Cabo Verde,0.0,0.0
1,2026-06-15 16:00:00,2392,Bélgica,2324,Egito,1.0,1.0
1,2026-06-15 19:00:00,2344,Arábia Saudita,2356,Uruguai,1.0,1.0
1,2026-06-15 22:00:00,2336,Irã,2340,Nova Zelândia,2.0,2.0
1,2026-06-16 16:00:00,2385,França,2347,Senegal,3.0,1.0
1,2026-06-16 19:00:00,2342,Iraque,2323,Noruega,1.0,4.0
1,2026-06-16 22:00:00,2357,Argentina,2338,Argélia,3.0,0.0
1,2026-06-17 01:00:00,2391,Áustria,3231,Jordânia,3.0,1.0
1,2026-06-17 14:00:00,2390,Portugal,3184,RD Congo,1.0,1.0
1,2026-06-17 17:00:00,2370,Inglaterra,2379,Croácia,4.0,2.0
1,2026-06-17 20:00:00,2375,Gana,3062,Panamá,1.0,0.0
1,2026-06-17 23:00:00,3061,Uzbequistão,2373,Colômbia,1.0,3.0
2,2026-06-18 13:00:00,2352,República Tcheca,2358,África do Sul,1.0,1.0
2,2026-06-18 16:00:00,2320,Suíça,2865,Bósnia,4.0,1.0
2,2026-06-18 19:00:00,2361,Canadá,3238,Catar,6.0,0.0
2,2026-06-18 22:00:00,2360,México,2374,Coreia do Sul,1.0,0.0
2,2026-06-19 16:00:00,2365,Estados Unidos,2333,Austrália,2.0,0.0
2,2026-06-19 19:00:00,2327,Escócia,2332,Marrocos,0.0,1.0
2,2026-06-19 21:30:00,2318,Brasil,2334,Haiti,3.0,0.0
2,2026-06-20 00:00:00,2328,Turquia,2354,Paraguai,0.0,1.0
2,2026-06-20 14:00:00,2381,Holanda,2368,Suécia,5.0,1.0
2,2026-06-20 17:00:00,2384,Alemanha,2350,Costa do Marfim,2.0,1.0
2,2026-06-20 21:00:00,2372,Equador,3221,Curaçao,0.0,0.0
2,2026-06-21 01:00:00,2337,Tunísia,2369,Japão,0.0,4.0
2,2026-06-21 13:00:00,2326,Espanha,2344,Arábia Saudita,4.0,0.0
2,2026-06-21 16:00:00,2392,Bélgica,2336,Irã,0.0,0.0
2,2026-06-21 19:00:00,2356,Uruguai,3201,Cabo Verde,2.0,2.0
2,2026-06-21 22:00:00,2340,Nova Zelândia,2324,Egito,1.0,3.0
2,2026-06-22 14:00:00,2357,Argentina,2391,Áustria,2.0,0.0
2,2026-06-22 18:00:00,2385,França,2342,Iraque,3.0,0.0
2,2026-06-22 21:00:00,2323,Noruega,2347,Senegal,3.0,2.0
2,2026-06-23 00:00:00,3231,Jordânia,2338,Argélia,1.0,2.0
2,2026-06-23 14:00:00,2390,Portugal,3061,Uzbequistão,5.0,0.0
2,2026-06-23 17:00:00,2370,Inglaterra,2375,Gana,0.0,0.0
2,2026-06-23 20:00:00,3062,Panamá,2379,Croácia,0.0,1.0
2,2026-06-23 23:00:00,2373,Colômbia,3184,RD Congo,1.0,0.0
3,2026-06-24 16:00:00,2320,Suíça,2361,Canadá,,
3,2026-06-24 16:00:00,2865,Bósnia,3238,Catar,,
3,2026-06-24 19:00:00,2327,Escócia,2318,Brasil,,
3,2026-06-24 19:00:00,2332,Marrocos,2334,Haiti,,
3,2026-06-24 22:00:00,2358,África do Sul,2374,Coreia do Sul,,
3,2026-06-24 22:00:00,2352,República Tcheca,2360,México,,
3,2026-06-25 17:00:00,2372,Equador,2384,Alemanha,,
3,2026-06-25 17:00:00,3221,Curaçao,2350,Costa do Marfim,,
3,2026-06-25 20:00:00,2337,Tunísia,2381,Holanda,,
3,2026-06-25 20:00:00,2369,Japão,2368,Suécia,,
3,2026-06-25 23:00:00,2354,Paraguai,2333,Austrália,,
3,2026-06-25 23:00:00,2328,Turquia,2365,Estados Unidos,,
3,2026-06-26 16:00:00,2323,Noruega,2385,França,,
3,2026-06-26 16:00:00,2347,Senegal,2342,Iraque,,
3,2026-06-26 21:00:00,2356,Uruguai,2326,Espanha,,
3,2026-06-26 21:00:00,3201,Cabo Verde,2344,Arábia Saudita,,
3,2026-06-27 00:00:00,2340,Nova Zelândia,2392,Bélgica,,
3,2026-06-27 00:00:00,2324,Egito,2336,Irã,,
3,2026-06-27 18:00:00,3062,Panamá,2370,Inglaterra,,
3,2026-06-27 18:00:00,2379,Croácia,2375,Gana,,
3,2026-06-27 20:30:00,2373,Colômbia,2390,Portugal,,
3,2026-06-27 20:30:00,3184,RD Congo,3061,Uzbequistão,,
3,2026-06-27 23:00:00,3231,Jordânia,2357,Argentina,,
3,2026-06-27 23:00:00,2338,Argélia,2391,Áustria,,
4,2026-06-29 17:30:00,1,1,1,1,,
5,2026-07-04 18:00:00,1,1,1,1,,
6,2026-07-09 17:00:00,1,1,1,1,,
7,2026-07-14 16:00:00,1,1,1,1,,
8,2026-07-18 18:00:00,1,1,1,1,,
