atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,FS,CA,FC,FD,FF,I,DS,SG,DE,GS,A,FT,V,G,PS,GC,PC,CV,clube_nome
39656,Alan Franco,4,2372,3.6,True,,,3.0,,,,3.0,,,,,,,,,,,,Equador
66177,Javier Aguirre,6,2360,7.79,True,,,,,,,,,,,,,1.0,,,,,,México
66833,Sörloth,5,2323,0.8,True,1.0,,3.0,1.0,,,,,,,,,,,,,,,Noruega
67746,Messi,5,2357,29.9,True,1.0,,1.0,1.0,2.0,1.0,2.0,,,,,,,3.0,,,,,Argentina
67812,Modric,4,2379,-0.5,True,1.0,,,,,,,,,,,,,,,,1.0,,Croácia
67972,Cristiano Ronaldo,5,2390,1.6,True,,,,,2.0,,,,,,,,,,,,,,Portugal
68296,Dick Advocaat,6,3221,3.94,True,,,,,,,,,,,,,,,,,,,Curaçao
68325,Marcelo Bielsa,6,2356,4.2,True,,,,,,,,,,,,,,,,,,,Uruguai
69219,Otamendi,3,2357,6.5,True,,,,,,,1.0,1.0,,,,,,,,,,,Argentina
69241,Muslera,1,2356,1.6,True,,,,,,,,,2.0,1.0,,,,,,,,,Uruguai
69293,Neuer,1,2384,0.8,True,1.0,,,,,,,,1.0,1.0,,,,,,,,,Alemanha
69384,Arnautovic,5,2391,11.1,True,1.0,,,1.0,,1.0,1.0,,,,,,,1.0,,,,,Áustria
69726,Carlos Queiroz,6,2375,0.0,False,,,,,,,,,,,,,,,,,,,Gana
69783,Danilo,2,2318,0.0,True,,,,,,,,,,,,,,,,,,,Brasil
69973,Wood,5,2340,13.2,True,,,,2.0,1.0,,,,,,2.0,,,,,,,,Nova Zelândia
70119,Casemiro,4,2318,0.7,True,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,Brasil
70594,Hajsafi,2,2336,-0.8,True,1.0,1.0,1.0,,,,,,,,,,,,,,,,Irã
70788,Enner Valencia,5,2372,4.1,True,4.0,,3.0,,,,,,,,,1.0,,,,,,,Equador
70892,Carlo Ancelotti,6,2318,4.35,True,,,,,,,,,,,,,,,,,,,Brasil
70911,Staale Solbakken,6,2323,5.52,True,,,,,,,,,,,,,1.0,,,,,,Noruega
71178,Alaba,3,2391,0.0,True,,,,,,,,,,,,,,,,,,,Áustria
71485,Didier Deschamps,6,2385,7.12,True,,,,,,,,,,,,,1.0,,,,,,França
71543,Lukaku,5,2392,0.8,True,,,,,1.0,,,,,,,,,,,,,,Bélgica
71684,Gustavo Gómez,3,2354,0.8,True,,,2.0,,,1.0,1.0,,,,,,,,,,,,Paraguai
73303,Vincenzo Montella,6,2328,3.17,True,,,,,,,,,,,,,,,,,,,Turquia
73398,Hanley,3,2327,4.7,True,,,1.0,,,,,1.0,,,,,,,,,,,Escócia
73526,Ralf Rangnick,6,2391,5.65,True,,,,,,,,,,,,,1.0,,,,,,Áustria
74072,Marquinhos,3,2318,1.5,True,,,,,,,1.0,,,,,,,,,,,,Brasil
74161,Mauricio Pochettino,6,2365,7.25,True,,,,,,,,,,,,,1.0,,,,,,Estados Unidos
77629,Ricardo Rodríguez,2,2320,-0.6,True,,,2.0,,,,,,,,,,,,,,,,Suíça
77844,Kovacic,4,2379,1.9,True,2.0,,1.0,1.0,,,,,,,,,,,,,,,Croácia
77904,Courtois,1,2392,4.2,True,,,,,,,,,4.0,1.0,,,,,,,,,Bélgica
78297,Al-Haydos,4,3238,0.0,True,,,,,,,,,,,,,,,,,,,Catar
79191,Gustavo Alfaro,6,2354,3.31,True,,,,,,,,,,,,,,,,,,,Paraguai
79544,Xhaka,4,2320,2.0,True,,,,1.0,1.0,,,,,,,,,,,,,,Suíça
79826,Douglas Santos,2,2318,8.4,True,,,2.0,,,,6.0,,,,,,,,,,,,Brasil
80401,Fabinho,4,2318,0.6,True,,,3.0,,,,1.0,,,,,,,,,,,,Brasil
80507,Perisic,5,2379,7.4,True,,,2.0,,,,2.0,,,,1.0,,,,,,,,Croácia
80617,Salah,5,2324,7.1,True,3.0,,2.0,1.0,,,,,,,1.0,,,,,,,,Egito
80647,Payne,2,2340,3.2,True,1.0,,1.0,,,,2.0,,,,,,,,,,,,Nova Zelândia
80695,Hong Myung-Bo,6,2374,5.77,True,,,,,,,,,,,,,1.0,,,,,,Coreia do Sul
80717,Raúl Jiménez,5,2360,13.0,True,,,1.0,2.0,,1.0,2.0,,,,,,,1.0,,,,,México
80951,Bono,1,2332,4.2,True,,,,,,,,,4.0,1.0,,,,,,,,,Marrocos
81104,Rabiot,4,2385,7.7,True,,,1.0,,,,2.0,,,,1.0,,,,,,,,França
81141,Vladimir Petkovic,6,2338,2.74,True,,,,,,,,,,,,,,,,,,,Argélia
81462,Jalal Hassan,1,2342,0.4,True,1.0,,,,,,,,3.0,4.0,,,,,,,,,Iraque
81779,Irvine,4,2333,-0.3,True,,,1.0,,,,,,,,,,,,,,,,Austrália
81947,Laporte,3,2326,8.5,True,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,Espanha
81958,João Cancelo,2,2390,4.3,True,1.0,,2.0,,,1.0,3.0,,,,,,,,,,,,Portugal
82002,Kim Seung-Gyu,1,2374,1.6,True,,,,,,,,,2.0,1.0,,,,,,,,,Coreia do Sul
82005,Lee Jae-Sung,4,2374,3.4,True,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,Coreia do Sul
82033,Rabia,3,2324,1.5,True,,,,,,,1.0,,,,,,,,,,,,Egito
82042,Hajime Moriyasu,6,2369,4.6,True,,,,,,,,,,,,,,,,,,,Japão
82060,Son Heung-Min,5,2374,4.5,True,2.0,,,1.0,3.0,1.0,,,,,,,,,,,,,Coreia do Sul
82062,Pickford,1,2370,2.4,True,1.0,,,,,,,,3.0,2.0,,,,,,,,,Inglaterra
82232,Harry Kane,5,2370,21.4,True,1.0,,2.0,2.0,2.0,,1.0,,,,,,,2.0,,,,,Inglaterra
82257,Roberto Martínez,6,2390,3.09,True,,,,,,,,,,,,,,,,,,,Portugal
82275,Steve Clarke,6,2327,6.55,True,,,,,,,,,,,,,1.0,,,,,,Escócia
82295,Aké,2,2381,0.0,True,,,,,,,,,,,,,,,,,,,Holanda
82896,Alisson,1,2318,2.9,True,,,,,,,,,3.0,1.0,,,,,,,,,Brasil
83119,Kolasinac,2,2865,6.6,True,2.0,,3.0,,,,1.0,,,,1.0,,,,,,,,Bósnia
84061,Murat Yakin,6,2320,3.22,True,,,,,,,,,,,,,,,,,,,Suíça
84774,Rüdiger,3,2384,0.0,True,,,,,,,,,,,,,,,,,,,Alemanha
84783,Khedira,4,2337,0.2,True,,1.0,1.0,,,,1.0,,,,,,,,,,,,Tunísia
84808,Rudi Garcia,6,2392,3.69,True,,,,,,,,,,,,,,,,,,,Bélgica
84816,Varela,2,2356,2.7,True,,,1.0,,,,2.0,,,,,,,,,,,,Uruguai
84990,Maignan,1,2385,2.1,True,1.0,,,,,,,,2.0,1.0,,,,,,,,,França
85035,Sanabria,5,2354,0.2,True,1.0,,1.0,,,,,,,,,,,,,,,,Paraguai
85044,Locadia,5,3221,2.2,True,2.0,,1.0,,,,1.0,,,,,,,,,,,,Curaçao
85048,Memphis,5,2381,-1.3,True,,1.0,1.0,,,,,,,,,,,,,,,,Holanda
85084,De Bruyne,4,2392,6.5,True,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,Bélgica
85181,Van Dijk,3,2381,8.0,True,,,,,,,,,,,,,,1.0,,,,,Holanda
85889,Nordfeldt,1,2368,1.6,True,,,,,,,,,2.0,1.0,,,,,,,,,Suécia
85914,Hossam Hassan,6,2324,4.8,True,,,,,,,,,,,,,,,,,,,Egito
85995,Stones,3,2370,0.2,True,1.0,,1.0,,,,,,,,,,,,,,,,Inglaterra
86008,Placide,1,2334,1.6,True,,,,,,,,,2.0,1.0,,,,,,,,,Haiti
86013,Mandi,3,2338,3.0,True,3.0,,,,,,1.0,,,,,,,,,,,,Argélia
86213,Tah,3,2384,-0.6,True,,,2.0,,,,,,,,,,,,,,,,Alemanha
86214,Calhanoglu,4,2328,4.2,True,1.0,,1.0,2.0,2.0,,,,,,,,,,,,,,Turquia
86256,Gana Gueye,4,2347,1.2,True,,,1.0,,,,1.0,,,,,,,,,,,,Senegal
86260,Ryan Mendes,5,3201,1.6,True,2.0,,,,1.0,2.0,,,,,,,,,,,,,Cabo Verde
86849,Bruno Fernandes,4,2390,6.3,True,1.0,,1.0,,2.0,,3.0,,,,,,,,,,,,Portugal
87094,Bentaleb,4,2338,4.5,True,,,,,,,3.0,,,,,,,,,,,,Argélia
87416,Masuaku,2,3184,5.5,True,1.0,,,,,,,,,,1.0,,,,,,,,RD Congo
87588,Williams,1,2358,1.9,True,,,,,,,,,3.0,2.0,,,,,,,,,África do Sul
87771,Goretzka,4,2384,1.5,True,,,,,,,1.0,,,,,,,,,,,,Alemanha
88045,Leandro Bacuna,4,3221,3.8,True,2.0,,1.0,,2.0,,1.0,,,,,,,,,,,,Curaçao
88108,Thomas Tuchel,6,2370,8.77,True,,,,,,,,,,,,,1.0,,,,,,Inglaterra
88312,Junior Alonso,3,2354,5.2,True,1.0,1.0,1.0,,,,4.0,,,,,,,,,,,,Paraguai
88320,Almirón,4,2354,0.7,True,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,Paraguai
88472,Bakambu,5,3184,1.6,True,1.0,,1.0,,2.0,2.0,,,,,,,,,,,,,RD Congo
88559,Steven Moreira,2,3201,5.0,True,,,,,,,,1.0,,,,,,,,,,,Cabo Verde
