atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,DS,FS,FC,FF,FD,G,CA,SG,DE,GS,A,I,V,FT,GC,CV,PP,PS,PC,clube_nome
39656,Alan Franco,4,2372,1.2,True,1.0,,1.0,,,,,,,,,,,,,,,,,Equador
66177,Javier Aguirre,6,2360,0.0,False,,,,,,,,,,,,,,,,,,,,México
66833,Sörloth,5,2323,0.2,True,,1.0,1.0,,,,,,,,,,,,,,,,,Noruega
67746,Messi,5,2357,20.9,True,2.0,4.0,,2.0,2.0,2.0,,,,,,1.0,,,,,1.0,,,Argentina
67972,Cristiano Ronaldo,5,2390,23.4,True,2.0,1.0,1.0,1.0,3.0,2.0,,,,,,2.0,,,,,,,,Portugal
68296,Dick Advocaat,6,3221,7.25,True,,,,,,,,,,,,,,,,,,,,Curaçao
68325,Marcelo Bielsa,6,2356,4.62,True,,,,,,,,,,,,,,,,,,,,Uruguai
69219,Otamendi,3,2357,4.4,True,,,2.0,,,,,1.0,,,,,,,,,,,,Argentina
69241,Muslera,1,2356,0.6,True,,,,,,,,,2.0,2.0,,,,,,,,,,Uruguai
69293,Neuer,1,2384,0.3,True,,,,,,,,,1.0,1.0,,,,,,,,,,Alemanha
69384,Arnautovic,5,2391,0.0,True,,,,,,,,,,,,,,,,,,,,Áustria
69726,Carlos Queiroz,6,2375,5.32,True,,,,,,,,,,,,,,,,,,,,Gana
69783,Danilo,2,2318,5.8,True,1.0,,2.0,,,,,1.0,,,,1.0,,,,,,,,Brasil
69973,Wood,5,2340,0.2,True,,,1.0,1.0,,,,,,,,3.0,,,,,,,,Nova Zelândia
70119,Casemiro,4,2318,8.4,True,5.0,3.0,2.0,,,,,,,,,,,,,,,,,Brasil
70594,Hajsafi,2,2336,6.2,True,1.0,,1.0,,,,,1.0,,,,,,,,,,,,Irã
70788,Enner Valencia,5,2372,6.4,True,,1.0,,,5.0,,,,,,,1.0,,,,,,,,Equador
70892,Carlo Ancelotti,6,2318,9.59,True,,,,,,,,,,,,,1.0,,,,,,,Brasil
70911,Staale Solbakken,6,2323,6.33,True,,,,,,,,,,,,,1.0,,,,,,,Noruega
71178,Alaba,3,2391,0.0,True,,,,,,,,,,,,,,,,,,,,Áustria
71484,Ayew,5,2375,1.8,True,1.0,3.0,4.0,,,,,,,,,,,,,,,,,Gana
71485,Didier Deschamps,6,2385,11.1,True,,,,,,,,,,,,,1.0,,,,,,,França
71543,Lukaku,5,2392,-1.3,True,,,1.0,,,,1.0,,,,,,,,,,,,,Bélgica
71684,Gustavo Gómez,3,2354,5.5,True,,1.0,,,,,,1.0,,,,,,,,,,,,Paraguai
73303,Vincenzo Montella,6,2328,4.11,True,,,,,,,,,,,,,,,,,,,,Turquia
73398,Hanley,3,2327,-0.1,True,,,,,,,,,,,,1.0,,,,,,,,Escócia
73526,Ralf Rangnick,6,2391,1.81,True,,,,,,,,,,,,,,,,,,,,Áustria
74072,Marquinhos,3,2318,6.5,True,1.0,,,,,,,1.0,,,,,,,,,,,,Brasil
74161,Mauricio Pochettino,6,2365,9.2,True,,,,,,,,,,,,,1.0,,,,,,,Estados Unidos
77904,Courtois,1,2392,8.9,True,,,,,,,,1.0,3.0,,,,,,,,,,,Bélgica
79191,Gustavo Alfaro,6,2354,8.98,True,,,,,,,,,,,,,1.0,,,,,,,Paraguai
79259,Paredes,4,2357,0.2,True,1.0,,1.0,,,,1.0,,,,,,,,,,,,,Argentina
79826,Douglas Santos,2,2318,7.6,True,2.0,1.0,2.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,,Brasil
80617,Salah,5,2324,16.3,True,,1.0,,2.0,1.0,1.0,,,,,1.0,,,,,,,,,Egito
80647,Payne,2,2340,4.7,True,,,1.0,,,,,,,,1.0,,,,,,,,,Nova Zelândia
80695,Hong Myung-Bo,6,2374,0.0,False,,,,,,,,,,,,,,,,,,,,Coreia do Sul
80951,Bono,1,2332,5.5,True,,1.0,,,,,,1.0,,,,,,,,,,,,Marrocos
80953,Partey,4,2375,4.7,True,3.0,1.0,1.0,,,,,,,,,,,,,,,,,Gana
81104,Rabiot,4,2385,3.2,True,2.0,,2.0,1.0,,,,,,,,,,,,,,,,França
81141,Vladimir Petkovic,6,2338,7.16,True,,,,,,,,,,,,,1.0,,,,,,,Argélia
81779,Irvine,4,2333,0.0,True,,,,,,,,,,,,,,,,,,,,Austrália
81947,Laporte,3,2326,12.7,True,2.0,,1.0,,,,,1.0,,,1.0,,,,,,,,,Espanha
81958,João Cancelo,2,2390,11.7,True,1.0,1.0,1.0,,,,,1.0,,,1.0,,,,,,,,,Portugal
82033,Rabia,3,2324,3.9,True,3.0,,2.0,,,,,,,,,,,,,,,,,Egito
82039,Trézéguet,4,2324,9.2,True,1.0,,1.0,,,1.0,,,,,,,,,,,,,,Egito
82042,Hajime Moriyasu,6,2369,11.02,True,,,,,,,,,,,,,1.0,,,,,,,Japão
82062,Pickford,1,2370,6.0,True,,2.0,,,,,,1.0,,,,,,,,,,,,Inglaterra
82232,Harry Kane,5,2370,3.5,True,,2.0,1.0,2.0,1.0,,,,,,,,,,,,,,,Inglaterra
82257,Roberto Martínez,6,2390,11.25,True,,,,,,,,,,,,,1.0,,,,,,,Portugal
82275,Steve Clarke,6,2327,3.08,True,,,,,,,,,,,,,,,,,,,,Escócia
