atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,DS,FC,FS,SG,FD,FF,I,FT,G,V,A,DE,GS,CA,PP,PS,CV,DP,GC,PC,clube_nome
39656,Alan Franco,4,2372,1.7,True,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,Equador
61987,Alex Sandro,2,2318,4.7,True,,1.0,,1.0,,,,,,,,,,,,,,,,,Brasil
63007,Neymar,4,2318,1.7,True,,,1.0,,1.0,,,,,,,,,,,,,,,,Brasil
66177,Javier Aguirre,6,2360,9.77,True,,,,,,,,,,1.0,,,,,,,,,,,México
67746,Messi,5,2357,9.3,True,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,Argentina
67812,Modric,4,2379,8.0,True,2.0,,,,,,,,,,1.0,,,,,,,,,,Croácia
67972,Cristiano Ronaldo,5,2390,1.7,True,,1.0,2.0,,1.0,,2.0,,,,,,,,,,,,,,Portugal
68296,Dick Advocaat,6,3221,3.34,True,,,,,,,,,,,,,,,,,,,,,Curaçao
68325,Marcelo Bielsa,6,2356,3.35,True,,,,,,,,,,,,,,,,,,,,,Uruguai
69063,James Rodríguez,4,2373,3.3,True,,,1.0,,1.0,2.0,,,,,,,,,,,,,,,Colômbia
69219,Otamendi,3,2357,1.9,True,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,Argentina
69241,Muslera,1,2356,-1.0,True,,,,,,,,,,,,,1.0,,,,,,,,Uruguai
69293,Neuer,1,2384,-0.7,True,,,,,,,,,,,,1.0,2.0,,,,,,,,Alemanha
69384,Arnautovic,5,2391,6.5,True,,1.0,,,,,2.0,,1.0,,,,,1.0,,,,,,,Áustria
69513,Ochoa,1,2360,5.0,True,,,,1.0,,,,,,,,,,,,,,,,,México
69726,Carlos Queiroz,6,2375,4.13,True,,,,,,,,,,,,,,,,,,,,,Gana
69783,Danilo,2,2318,4.6,True,1.0,3.0,,1.0,,,,,,,,,,1.0,,,,,,,Brasil
69945,Nagatomo,2,2369,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,Japão
69973,Wood,5,2340,1.6,True,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,Nova Zelândia
70119,Casemiro,4,2318,3.2,True,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,Brasil
70734,Vargas,1,2373,7.6,True,,,,1.0,,,,,,,,2.0,,,,,,,,,Colômbia
70788,Enner Valencia,5,2372,3.7,True,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,Equador
70892,Carlo Ancelotti,6,2318,11.29,True,,,,,,,,,,1.0,,,,,,,,,,,Brasil
70911,Staale Solbakken,6,2323,4.02,True,,,,,,,,,,,,,,,,,,,,,Noruega
70972,Jordan Henderson,4,2370,1.5,True,1.0,,,,,,,,,,,,,,,,,,,,Inglaterra
71178,Alaba,3,2391,5.0,True,,,,,,,,,,,1.0,,,,,,,,,,Áustria
71184,Dzeko,5,2865,3.0,True,,,,,,,,1.0,,,,,,,,,,,,,Bósnia
71484,Ayew,5,2375,1.2,True,1.0,1.0,,,,,,,,,,,,,,,,,,,Gana
71485,Didier Deschamps,6,2385,10.91,True,,,,,,,,,,1.0,,,,,,,,,,,França
71543,Lukaku,5,2392,13.0,True,,,,,,,,,1.0,,1.0,,,,,,,,,,Bélgica
71684,Gustavo Gómez,3,2354,8.0,True,2.0,,,1.0,,,,,,,,,,,,,,,,,Paraguai
71701,Santi Arias,2,2373,9.2,True,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,Colômbia
73303,Vincenzo Montella,6,2328,8.9,True,,,,,,,,,,1.0,,,,,,,,,,,Turquia
73526,Ralf Rangnick,6,2391,5.38,True,,,,,,,,,,,,,,,,,,,,,Áustria
