atleta_id,apelido,posicao_id,clube_id,pontuacao,entrou_em_campo,A,DS,FC,FD,FS,FF,I,PC,SG,G,CA,V,FT,CV,DE,GS,GC,PS,clube_nome
39656,Alan Franco,4,2372,-1.3,True,,,1.0,,,,,,,,1.0,,,,,,,,Equador
66177,Javier Aguirre,6,2360,8.89,True,,,,,,,,,,,,1.0,,,,,,,México
66833,Sörloth,5,2323,0.4,True,,,1.0,,,1.0,1.0,,,,,,,,,,,,Noruega
67746,Messi,5,2357,17.0,True,,,1.0,5.0,5.0,1.0,,,,1.0,,,,,,,,,Argentina
67812,Modric,4,2379,1.4,True,,2.0,2.0,,,,,,,,1.0,,,,,,,,Croácia
67972,Cristiano Ronaldo,5,2390,7.9,True,,,,,,,1.0,,,1.0,,,,,,,,,Portugal
69293,Neuer,1,2384,3.4,True,,,,,1.0,,,,,,,,,,3.0,1.0,,,Alemanha
69384,Arnautovic,5,2391,-0.8,True,,,2.0,,,,2.0,,,,,,,,,,,,Áustria
69726,Carlos Queiroz,6,2375,0.0,False,,,,,,,,,,,,,,,,,,,Gana
69783,Danilo,2,2318,0.7,True,,1.0,1.0,,1.0,,,,,,1.0,,,,,,,,Brasil
70119,Casemiro,4,2318,12.4,True,,3.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,,Brasil
70788,Enner Valencia,5,2372,-0.7,True,,,2.0,,,,1.0,,,,,,,,,,,,Equador
70892,Carlo Ancelotti,6,2318,7.35,True,,,,,,,,,,,,1.0,,,,,,,Brasil
70911,Staale Solbakken,6,2323,6.25,True,,,,,,,,,,,,1.0,,,,,,,Noruega
71178,Alaba,3,2391,0.2,True,,,2.0,,,1.0,,,,,,,,,,,,,Áustria
71184,Dzeko,5,2865,0.0,True,,,,,,,,,,,,,,,,,,,Bósnia
71485,Didier Deschamps,6,2385,11.85,True,,,,,,,,,,,,1.0,,,,,,,França
71543,Lukaku,5,2392,7.9,True,,,,,,,1.0,,,1.0,,,,,,,,,Bélgica
71684,Gustavo Gómez,3,2354,2.7,True,,2.0,1.0,,,,,,,,,,,,,,,,Paraguai
73526,Ralf Rangnick,6,2391,3.09,True,,,,,,,,,,,,,,,,,,,Áustria
74072,Marquinhos,3,2318,4.3,True,,2.0,,,1.0,1.0,,,,,,,,,,,,,Brasil
74161,Mauricio Pochettino,6,2365,8.16,True,,,,,,,,,,,,1.0,,,,,,,Estados Unidos
77629,Ricardo Rodríguez,2,2320,9.4,True,,3.0,3.0,,,1.0,,,1.0,,,,,,,,,,Suíça
77844,Kovacic,4,2379,7.1,True,,1.0,1.0,2.0,1.0,,,,,,,,1.0,,,,,,Croácia
77904,Courtois,1,2392,1.9,True,,,,,,,,,,,,,,,3.0,2.0,,,Bélgica
