atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Alan Franco,A. Franco,39656,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_SI5Ni0x.png,2,2.4,Alan Steven Franco Palma,1.2,4,4.7,2,alan-franco,7,-0.58,,,,,4.0,4.0,,,,,,,,,,,,,
Alex Sandro,A. Sandro,61987,Brasil,2318,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_MpkPZPF.png,0,0.0,Alex Sandro Lobo Silva,0.0,2,7.0,2,alex-sandro,6,0.0,,,,,,,,,,,,,,,,,,,
Neymar,Neymar,63007,Brasil,2318,0.9987447699,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_PCFB2kS.png,0,0.0,Neymar da Silva Santos Júnior,0.0,4,16.0,2,neymar,5,0.0,,,,,,,,,,,,,,,,,,,
Javier Aguirre,J. Aguirre,66177,México,2360,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_HEeAEKY.png,1,7.79,Javier Aguirre Onaindía,0.0,6,6.73,2,javier-aguirre,7,0.0,,,,,,,,,,,,,,,,,,,1.0
Sörloth,Sörloth,66833,Noruega,2323,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_bYymP0G.png,2,0.5,Alexander Sørloth,0.2,5,5.71,2,sorloth,6,-1.03,,,,,,4.0,1.0,,2.0,,,,,,,,,,
Messi,Messi,67746,Argentina,2357,0.99324242,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_fTI9qFm.png,2,25.4,Lionel Andrés Messi Cuccitini,20.9,5,25.88,2,messi,6,1.0,,,,,4.0,1.0,3.0,4.0,5.0,,5.0,,,2.0,,1.0,,,
Modric,Modric,67812,Croácia,2379,0.9784518828,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/18/photo_FORMATO_kTZegg7.png,1,-0.5,Luka Modrić,0.0,4,13.55,2,modric,7,0.0,,,,,,,,,1.0,,,,,,1.0,,,,
Cristiano Ronaldo,C. Ronaldo,67972,Portugal,2390,0.9987447699,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_rnVSFb9.png,2,12.5,Cristiano Ronaldo dos Santos Aveiro,23.4,5,18.76,2,cristiano-ronaldo,7,3.67,,,,,2.0,1.0,3.0,3.0,1.0,,2.0,,,2.0,,,,,
Dick Advocaat,D. Advocaat,68296,Curaçao,3221,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_220x220_dYfMQS8.png,2,5.6,Dick Nicolaas Advocaat,7.25,6,7.05,2,dick-advocaat,7,0.84,,,,,,,,,,,,,,,,,,,
Marcelo Bielsa,M. Bielsa,68325,Uruguai,2356,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/04/30/photo_FORMATO_Ox1qCBP.png,2,4.41,Marcelo Alberto Bielsa Caldera,4.62,6,6.43,2,marcelo-bielsa,7,0.13,,,,,,,,,,,,,,,,,,,
James Rodríguez,J. Rodríguez,69063,Colômbia,2373,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/25/photo_FORMATO_DSyDils.png,0,0.0,James David Rodríguez Rubio,0.0,4,10.0,2,james-rodriguez,7,0.0,,,,,,,,,,,,,,,,,,,
Otamendi,Otamendi,69219,Argentina,2357,0.8287257836,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_j9VQN8N.png,2,5.45,Nicolás Hernán Gonzalo Otamendi,4.4,3,9.05,2,otamendi,7,-0.47,,,,,1.0,2.0,,,,,,,,,,,,2.0,
Muslera,Muslera,69241,Uruguai,2356,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_qDbtYaf.png,2,1.1,Néstor Fernando Muslera Micol,0.6,1,5.35,2,muslera,7,-0.86,,,,4.0,,,,,,,,,3.0,,,,,,
Neuer,Neuer,69293,Alemanha,2384,0.9,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/11/photo_FORMATO_IX0HLQx.png,2,0.55,Manuel Peter Neuer,0.3,1,9.81,2,neuer,6,-1.77,,,,2.0,,,,,1.0,,,,2.0,,,,,,
Arnautovic,Arnautovic,69384,Áustria,2391,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/20/photo_FORMATO_cTVuNjU.png,2,5.55,Marko Arnautović,0.0,5,8.48,2,arnautovic,6,-1.82,,,,,1.0,,1.0,,1.0,,1.0,,,1.0,,,,,
Ochoa,Ochoa,69513,México,2360,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/02/photo_FORMATO_jYEu8oU.png,0,0.0,Francisco Guillermo Ochoa Magaña,0.0,1,7.0,2,ochoa,6,0.0,,,,,,,,,,,,,,,,,,,
Carlos Queiroz,C. Queiroz,69726,Gana,2375,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_dQGOdJE.png,1,5.32,Carlos Manuel Brito Leal de Queiroz,5.32,6,5.89,2,carlos-queiroz,7,0.89,,,,,,,,,,,,,,,,,,,
Danilo,Danilo,69783,Brasil,2318,0.7,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_7PL2pdU.png,2,2.9,Danilo Luiz da Silva,5.8,2,5.58,2,danilo,7,0.74,,,,,1.0,2.0,,,,,,,,1.0,,,,1.0,
Nagatomo,Nagatomo,69945,Japão,2369,0.7,False,https://s.sde.globo.com/media/person_role/2026/05/15/photo_FORMATO_YZ3AAPN.png,0,0.0,Yuto Nagatomo,0.0,2,5.0,2,nagatomo,6,0.0,,,,,,,,,,,,,,,,,,,
Smith,Smith,69971,Nova Zelândia,2340,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/16/photo_FORMATO_eiI1Qx8.png,0,0.0,Thomas Jefferson Smith - Tommy,0.0,3,3.0,2,smith,6,0.0,,,,,,,,,,,,,,,,,,,
Wood,Wood,69973,Nova Zelândia,2340,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/17/photo_FORMATO_kF3RNZf.png,2,6.7,Christopher Grant Wood,0.2,5,7.08,2,wood,7,-1.53,2.0,,,,,1.0,2.0,2.0,,,,,,3.0,,,,,
Lucas Mendes,L. Mendes,70052,Catar,3238,0.0,False,https://s.sde.globo.com/media/person_role/2026/06/01/photo_FORMATO_HuEI3JO.png,0,0.0,Lucas Michel Mendes,0.0,3,4.0,2,lucas-mendes,6,0.0,,,,,,,,,,,,,,,,,,,
