atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.craque,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DP,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PP,PS,SG,V
Alan Franco,A. Franco,39656,Equador,2372,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/06/03/photo_FORMATO_SI5Ni0x.png,4,1.3,Alan Steven Franco Palma,-1.3,4,3.67,4,alan-franco,7,-0.79,,2.0,,,,6.0,6.0,,,,,,,,,,,,,
Alex Sandro,A. Sandro,61987,Brasil,2318,0.0,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_MpkPZPF.png,1,4.7,Alex Sandro Lobo Silva,0.0,2,7.37,4,alex-sandro,6,0.0,,,,,,,1.0,,,,,,,,,,,,1.0,
Neymar,Neymar,63007,Brasil,2318,0.9987447699,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/22/photo_FORMATO_PCFB2kS.png,1,1.7,Neymar da Silva Santos Júnior,0.0,4,13.67,4,neymar,6,0.0,,,,,,,,1.0,,1.0,,,,,,,,,,
Javier Aguirre,J. Aguirre,66177,México,2360,0.0,True,https://s.sde.globo.com/media/person_role/2026/05/13/photo_FORMATO_HEeAEKY.png,3,8.82,Javier Aguirre Onaindía,8.89,6,9.2,4,javier-aguirre,7,1.04,,,,,,,,,,,,,,,,,,,,3.0
Sörloth,Sörloth,66833,Noruega,2323,0.0,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/29/photo_FORMATO_bYymP0G.png,3,0.47,Alexander Sørloth,0.4,5,5.23,4,sorloth,7,-0.48,,,,,,,5.0,1.0,1.0,2.0,,,,,1.0,,,,,
Messi,Messi,67746,Argentina,2357,0.99324242,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/30/photo_FORMATO_fTI9qFm.png,4,19.27,Lionel Andrés Messi Cuccitini,17.0,5,26.0,4,messi,7,1.84,,,,,,4.0,2.0,8.0,6.0,11.0,,7.0,,,2.0,,1.0,,,
Modric,Modric,67812,Croácia,2379,0.9784518828,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/18/photo_FORMATO_kTZegg7.png,3,2.97,Luka Modrić,1.4,4,12.08,4,modric,7,-1.54,1.0,1.0,,,,4.0,2.0,,,1.0,,,,,,1.0,,,,
Cristiano Ronaldo,C. Ronaldo,67972,Portugal,2390,0.9987447699,True,https://s.sde.globo.com/media/person_role_contract_photo/2026/05/19/photo_FORMATO_rnVSFb9.png,4,8.65,Cristiano Ronaldo dos Santos Aveiro,7.9,5,16.01,4,cristiano-ronaldo,7,0.58,,,,,,2.0,2.0,4.0,3.0,3.0,,3.0,,,5.0,,,,,
Dick Advocaat,D. Advocaat,68296,Curaçao,3221,0.0,False,https://s.sde.globo.com/media/person_role/2026/05/13/photo_220x220_dYfMQS8.png,3,4.85,Dick Nicolaas Advocaat,0.0,6,6.59,4,dick-advocaat,6,0.0,,,,,,,,,,,,,,,,,,,,
Marcelo Bielsa,M. Bielsa,68325,Uruguai,2356,0.7,False,https://s.sde.globo.com/media/person_role_contract_photo/2026/04/30/photo_FORMATO_Ox1qCBP.png,3,4.06,Marcelo Alberto Bielsa Caldera,0.0,6,6.19,4,marcelo-bielsa,6,0.0,,,,,,,,,,,,,,,,,,,,
